Vivado Simulator 2019.1
Time resolution is 1 ps
Applying reset...
                   0 clk=0, reset=1, enJump=x, address=xxxx, j=x, c=x, sreg=x, s=x, D=xx, imm_out=xxx, mux1_out=xxxxxxxx
                   5 clk=1, reset=1, enJump=x, address=xxxx, j=x, c=x, sreg=x, s=x, D=xx, imm_out=xxx, mux1_out=xxxxxxxx
                  10 clk=0, reset=0, enJump=0, address=0000, j=0, c=0, sreg=1, s=0, D=00, imm_out=000, mux1_out=00000000
                  15 clk=1, reset=0, enJump=0, address=0000, j=0, c=0, sreg=1, s=0, D=00, imm_out=000, mux1_out=00000000
                  20 clk=0, reset=1, enJump=0, address=0000, j=0, c=0, sreg=1, s=0, D=00, imm_out=000, mux1_out=00000000
                  25 clk=1, reset=1, enJump=0, address=0001, j=0, c=0, sreg=1, s=0, D=01, imm_out=001, mux1_out=00000001
                  30 clk=0, reset=1, enJump=0, address=0001, j=0, c=0, sreg=1, s=0, D=01, imm_out=001, mux1_out=00000001
                  35 clk=1, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000001
                  40 clk=0, reset=1, enJump=0, address=0010, j=0, c=0, sreg=0, s=0, D=10, imm_out=000, mux1_out=00000001
                  45 clk=1, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000001
                  50 clk=0, reset=1, enJump=0, address=0011, j=0, c=0, sreg=0, s=0, D=01, imm_out=000, mux1_out=00000001
                  55 clk=1, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00000001
                  60 clk=0, reset=1, enJump=0, address=0100, j=0, c=1, sreg=0, s=0, D=11, imm_out=000, mux1_out=00000001
                  65 clk=1, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00000001
                  70 clk=0, reset=1, enJump=0, address=0101, j=0, c=0, sreg=0, s=0, D=00, imm_out=000, mux1_out=00000001
